@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
188,'2017/11/02 23:30:13:837',2,345.779999,-4.81,60.09,0,0.96,0.08,0.58,0
189,'2017/11/02 23:30:13:888',2,345.769989,-4.81,60.18,0,0.96,0.08,0.58,0
190,'2017/11/02 23:30:14:467',2,345.779999,-4.84,60.23,0,0.96,0.08,0.58,0
191,'2017/11/02 23:30:14:467',2,345.799988,-4.81,60.349998,0,0.96,0.08,0.58,0
192,'2017/11/02 23:30:14:468',2,345.820007,-4.85,60.32,0,0.96,0.08,0.58,0
193,'2017/11/02 23:30:14:468',2,345.890015,-4.77,60.529999,0,0.96,0.08,0.58,0
194,'2017/11/02 23:30:14:469',2,345.890015,-4.76,60.689999,0,0.96,0.08,0.58,0
195,'2017/11/02 23:30:14:470',2,345.950012,-4.7,61.02,0,0.96,0.08,0.58,0
196,'2017/11/02 23:30:14:494',2,346.140015,-4.52,61.189999,0,0.96,0.08,0.58,0
197,'2017/11/02 23:30:14:513',2,346.279999,-4.38,61.380001,0,0.96,0.08,0.58,0
198,'2017/11/02 23:30:14:514',2,346.309998,-4.29,61.5,0,0.96,0.08,0.58,0
199,'2017/11/02 23:30:14:514',2,346.279999,-4.3,61.459999,0,0.96,0.08,0.58,0
200,'2017/11/02 23:30:14:557',2,346.320007,-4.33,61.439999,0,0.96,0.08,0.58,0
201,'2017/11/02 23:30:14:625',2,346.309998,-4.42,61.439999,0,0.96,0.08,0.58,0
202,'2017/11/02 23:30:14:670',2,346.299988,-4.48,61.369999,0,0.96,0.08,0.58,0
203,'2017/11/02 23:30:14:739',2,346.230011,-4.43,61.330002,0,0.96,0.08,0.58,0
204,'2017/11/02 23:30:14:797',2,346.209991,-4.45,61.310001,0,0.96,0.08,0.58,0
205,'2017/11/02 23:30:14:863',2,346.220001,-4.43,61.32,0,0.96,0.08,0.58,0
206,'2017/11/02 23:30:14:911',2,346.230011,-4.45,61.299999,0,0.96,0.08,0.58,0
207,'2017/11/02 23:30:14:968',2,346.220001,-4.5,61.209999,0,0.96,0.08,0.58,0
208,'2017/11/02 23:30:15:045',2,346.220001,-4.52,61.18,0,0.96,0.08,0.58,0
209,'2017/11/02 23:30:15:119',2,346.209991,-4.49,61.209999,0,0.96,0.08,0.58,0
210,'2017/11/02 23:30:15:199',2,346.200012,-4.53,61.130001,0,0.96,0.08,0.58,0
211,'2017/11/02 23:30:15:695',2,346.209991,-4.51,61.119999,0,0.96,0.08,0.58,0
212,'2017/11/02 23:30:15:719',2,346.179993,-4.54,61.110001,0,0.96,0.08,0.58,0
213,'2017/11/02 23:30:15:719',2,346.130005,-4.55,61.110001,0,0.96,0.08,0.58,0
214,'2017/11/02 23:30:15:720',2,346.100006,-4.54,61.080002,0,0.96,0.08,0.58,0
215,'2017/11/02 23:30:15:720',2,345.940002,-4.48,61.060001,0,0.96,0.08,0.58,0
216,'2017/11/02 23:30:15:721',2,345.679993,-4.41,61,0,0.96,0.08,0.58,0
217,'2017/11/02 23:30:15:721',2,345.600006,-4.44,61,0,0.96,0.08,0.58,0
218,'2017/11/02 23:30:15:725',2,345.559998,-4.5,61.029999,0,0.96,0.08,0.58,0
219,'2017/11/02 23:30:15:768',2,345.609985,-4.56,61.029999,0,0.96,0.08,0.58,0
220,'2017/11/02 23:30:15:837',2,345.640015,-4.59,60.970001,0,0.96,0.08,0.58,0
221,'2017/11/02 23:30:15:905',2,345.670013,-4.6,60.93,0,0.96,0.08,0.58,0
222,'2017/11/02 23:30:15:966',2,345.679993,-4.62,60.91,0,0.96,0.08,0.58,0
223,'2017/11/02 23:30:16:021',2,345.700012,-4.62,60.919998,0,0.96,0.08,0.58,0
224,'2017/11/02 23:30:16:092',2,345.73999,-4.68,60.900002,0,0.96,0.08,0.58,0
225,'2017/11/02 23:30:16:143',2,345.679993,-4.74,60.900002,0,0.96,0.08,0.58,0
226,'2017/11/02 23:30:16:207',2,345.679993,-4.69,60.939999,0,0.96,0.08,0.58,0
227,'2017/11/02 23:30:16:277',2,345.589996,-4.54,60.93,0,0.96,0.08,0.58,0
228,'2017/11/02 23:33:15:076',3,9.24,7.6,-6.12,1,0,-0.000391,0,1
229,'2017/11/02 23:33:15:147',3,9.28,7.68,-5.93,1,0,-0.000391,0,1
230,'2017/11/02 23:33:15:207',3,9.28,7.77,-5.72,1,0,-0.000391,0,1
231,'2017/11/02 23:33:15:269',3,9.11,7.78,-5.43,1,0,-0.000391,0,1
232,'2017/11/02 23:33:15:333',3,8.98,7.87,-4.9,1,0,-0.000391,0,1
233,'2017/11/02 23:33:15:399',3,8.87,7.84,-4.72,1,0,-0.000391,0,1
234,'2017/11/02 23:33:15:453',3,8.92,7.76,-4.51,1,0,-0.000391,0,1
235,'2017/11/02 23:33:15:509',3,8.92,7.7,-4.58,1,0,-0.000391,0,1
236,'2017/11/02 23:33:15:569',3,8.96,7.68,-4.68,1,0,-0.000391,0,1
237,'2017/11/02 23:33:15:628',3,9.01,7.68,-4.57,1,0,-0.000391,0,1
238,'2017/11/02 23:33:15:687',3,9.09,7.61,-4.47,1,0,-0.000391,0,1
239,'2017/11/02 23:33:15:763',3,9.01,7.56,-4.57,1,0,-0.000391,0,1
240,'2017/11/02 23:33:15:845',3,8.88,7.72,-4.35,1,0,-0.000391,0,1
241,'2017/11/02 23:33:15:909',3,8.87,7.69,-4.53,1,0,-0.000391,0,1
242,'2017/11/02 23:33:15:980',3,8.89,7.83,-4.29,1,0,-0.000391,0,1
243,'2017/11/02 23:33:16:048',3,8.86,7.75,-4.43,1,0,-0.000391,0,1
244,'2017/11/02 23:33:16:133',3,8.8,7.84,-4.29,1,0,-0.000391,0,1
245,'2017/11/02 23:33:16:192',3,8.66,7.87,-4.38,1,0,-0.000391,0,1
246,'2017/11/02 23:33:16:276',3,8.57,7.88,-4.31,1,0,-0.000391,0,1
247,'2017/11/02 23:33:16:366',3,8.62,7.87,-4.27,1,0,-0.000391,0,1
248,'2017/11/02 23:33:16:422',3,8.74,8.01,-4.4,1,0,-0.000391,0,1
249,'2017/11/02 23:33:16:471',3,8.81,7.78,-5.24,1,0,-0.000391,0,1
250,'2017/11/02 23:33:16:536',3,8.75,7.83,-5.11,1,0,-0.000391,0,1
251,'2017/11/02 23:33:16:630',3,8.67,7.61,-4.87,1,0,-0.000391,0,1
252,'2017/11/02 23:33:16:716',3,8.6,7.66,-4.65,1,0,-0.000391,0,1
253,'2017/11/02 23:33:16:787',3,8.59,7.75,-4.54,1,0,-0.000391,0,1
254,'2017/11/02 23:33:16:859',3,8.6,7.64,-4.45,1,0,-0.000391,0,1
255,'2017/11/02 23:33:16:932',3,8.59,7.64,-4.25,1,0,-0.000391,0,1
256,'2017/11/02 23:33:17:002',3,8.58,7.35,-4.85,1,0,-0.000391,0,1
257,'2017/11/02 23:33:17:068',3,8.49,7.31,-4.98,1,0,-0.000391,0,1
258,'2017/11/02 23:33:17:138',3,8.41,7.3,-4.76,1,0,-0.000391,0,1
259,'2017/11/02 23:33:17:188',3,8.39,7.19,-4.74,1,0,-0.000391,0,1
260,'2017/11/02 23:33:17:252',3,8.34,7.23,-4.64,1,0,-0.000391,0,1
261,'2017/11/02 23:33:17:308',3,8.27,7.23,-4.62,1,0,-0.000391,0,1
262,'2017/11/02 23:33:17:369',3,8.24,7.27,-4.54,1,0,-0.000391,0,1
263,'2017/11/02 23:33:17:428',3,8.25,7.22,-4.66,1,0,-0.000391,0,1
264,'2017/11/02 23:33:17:508',3,8.29,7.29,-4.52,1,0,-0.000391,0,1
265,'2017/11/02 23:33:17:582',3,8.34,7.33,-4.53,1,0,-0.000391,0,1
266,'2017/11/02 23:33:17:653',3,8.3,7.4,-4.38,1,0,-0.000391,0,1
267,'2017/11/02 23:33:17:718',3,8.24,7.56,-4.07,1,0,-0.000391,0,1
